Filler;Number of pictures;;;;Typ;Related pictures
37;37_1;37_2;37_3;37_4;random;1
38;38_1;38_2;38_3;38_4;random;0
39;39_1;39_2;39_3;39_4;random;0
40;40_1;40_2;40_3;40_4;random;0
41;41_1;41_2;41_3;41_4;random;0
42;42_1;42_2;42_3;42_4;random;1
43;43_1;43_2;43_3;43_4;random;0
44;44_1;44_2;44_3;44_4;random;1
45;45_1;45_2;45_3;45_4;random;0
46;46_1;46_2;46_3;46_4;random;0
47;47_1;47_2;47_3;47_4;random;1
48;48_1;48_2;48_3;48_4;random;2
49;49_1;49_2;49_3;49_4;random;2
50;50_1;50_2;50_3;50_4;random;0
51;51_1;51_2;51_3;51_4;random;0
52;52_1;52_2;52_3;52_4;random;2
53;53_1;53_2;53_3;53_4;random;0
54;54_1;54_2;54_3;54_4;random;2
55;55_1;55_2;55_3;55_4;random;2
56;56_1;56_2;56_3;56_4;random;2
57;57_1;57_2;57_3;57_4;random;1
58;58_1;58_2;58_3;58_4;random;1
59;59_1;59_2;59_3;59_4;random;0
60;60_1;60_2;60_3;60_4;random;2
61;61_1;61_2;61_3;61_4;Redewendung;1
62;62_1;62_2;62_3;62_4;Redewendung;0
63;63_1;63_2;63_3;63_4;Redewendung;1
64;64_1;64_2;64_3;64_4;Redewendung;1
65;65_1;65_2;65_3;65_4;Redewendung;2
66;66_1;66_2;66_3;66_4;Redewendung;0
67;67_1;67_2;67_3;67_4;Redewendung;1
68;68_1;68_2;68_3;68_4;Redewendung;2
69;69_1;69_2;69_3;69_4;Redewendung;1
70;70_1;70_2;70_3;70_4;Redewendung;0
71;71_1;71_2;71_3;71_4;Redewendung;0
72;72_1;72_2;72_3;72_4;Redewendung;0
73;73_1;73_2;73_3;73_4;Redewendung;0
74;74_1;74_2;74_3;74_4;Redewendung;0
75;75_1;75_2;75_3;75_4;Redewendung;0
76;76_1;76_2;76_3;76_4;Redewendung;2
77;77_1;77_2;77_3;77_4;Redewendung;0
78;78_1;78_2;78_3;78_4;Redewendung;0
79;79_1;79_2;79_3;79_4;Redewendung;2
80;80_1;80_2;80_3;80_4;Redewendung;0
81;81_1;81_2;81_3;81_4;Redewendung;2
82;82_1;82_2;82_3;82_4;Redewendung;0
83;83_1;83_2;83_3;83_4;Redewendung;0
84;84_1;84_2;84_3;84_4;Redewendung;0
85;85_1;85_2;85_3;85_4;Metaphoric;1
86;86_1;86_2;86_3;86_4;Metaphoric;0
87;87_1;87_2;87_3;87_4;Metaphoric;2
88;88_1;88_2;88_3;88_4;Metaphoric;0
89;89_1;89_2;89_3;89_4;Metaphoric;1
90;90_1;90_2;90_3;90_4;Metaphoric;1
91;91_1;91_2;91_3;91_4;Metaphoric;2
92;92_1;92_2;92_3;92_4;Metaphoric;1
93;93_1;93_2;93_3;93_4;Metaphoric;0
94;94_1;94_2;94_3;94_4;Metaphoric;0
95;95_1;95_2;95_3;95_4;Metaphoric;0
96;96_1;96_2;96_3;96_4;Metaphoric;0
97;97_1;97_2;97_3;97_4;Metaphoric;0
98;98_1;98_2;98_3;98_4;Metaphoric;0
99;99_1;99_2;99_3;99_4;Metaphoric;0
100;100_1;100_2;100_3;100_4;Metaphoric;1
101;101_1;101_2;101_3;101_4;Metaphoric;0
102;102_1;102_2;102_3;102_4;Metaphoric;0
103;103_1;103_2;103_3;103_4;Metaphoric;1
104;104_1;104_2;104_3;104_4;Metaphoric;2
105;105_1;105_2;105_3;105_4;Metaphoric;2
106;106_1;106_2;106_3;106_4;Metaphoric;0
107;107_1;107_2;107_3;107_4;Metaphoric;2
108;108_1;108_2;108_3;108_4;Metaphoric;2
