sentence,metaphoric,literal,distr1,distr2,item
Sarah kontert...,2_1_metaphoric_JPG.JPG,2_2_literal_JPG.JPG,2_3_distr1_JPG.JPG,2_4_distr2_JPG.JPG,2
Michael belästigt...,3_1_metaphoric_JPG.JPG,3_2_literal_JPG.JPG,3_3_distr1_JPG.JPG,3_4_distr2_JPG.JPG,3
Thomas liebkost...,4_1_metaphoric_JPG.JPG,4_2_literal_JPG.JPG,4_3_distr1_JPG.JPG,4_4_distr2_JPG.JPG,4
Karin trainiert...,5_1_metaphoric_JPG.JPG,5_2_literal_JPG.JPG,5_3_distr1_JPG.JPG,5_4_distr2_JPG.JPG,5
Andreas würdigt...,6_1_metaphoric_JPG.JPG,6_2_literal_JPG.JPG,6_3_distr1_JPG.JPG,6_4_distr2_JPG.JPG,6
Stefan interviewt...,7_1_metaphoric_JPG.JPG,7_2_literal_JPG.JPG,7_3_distr1_JPG.JPG,7_4_distr2_JPG.JPG,7
Susanne verherrlicht...,8_1_metaphoric_JPG.JPG,8_2_literal_JPG.JPG,8_3_distr1_JPG.JPG,8_4_distr2.JPG.JPG,8
Martin empfindet...,9_1_metaphoric_JPG.JPG,9_2_literal_JPG.JPG,9_3_distr1_JPG.JPG,9_4_distr2_JPG.JPG,9
Nicole verhaftet...,10_1_metaphoric_JPG.JPG,10_2_literal_JPG.JPG,10_3_distr1_JPG.JPG,10_4_distr2_JPG.JPG,10
Eva vertritt...,11_1_metaphoric_JPG.JPG,11_2_literal_JPG.JPG,11_3_distr1_JPG.JPG,11_4_distr2_JPG.JPG,11
Tobias beschimpft...,12_1_metaphoric_JPG.JPG,12_2_literal_JPG.JPG,12_3_distr1_JPG.JPG,12_4_distr2_JPG.JPG,12
Astrid belügt...,13_1_metaphoric_JPG.JPG,13_2_literal_JPG.JPG,13_3_distr_JPG.JPG,13_4_distr2_JPG.JPG,13
Maria küsst...,14_1_metaphoric_JPG.JPG,14_2_literal_JPG.JPG,14_3_distr1_JPG.JPG,14_4_distr2_JPG.JPG,14
Florian bekämpft...,15_1_metaphoric_JPG.JPG,15_2_literal_JPG.JPG,15_3_distr1_JPG.JPG,15_4_distr2_JPG.JPG,15
Beate umsorgt...,16_1_metaphoric_JPG.JPG,16_2_literal_JPG.JPG,16_3_distr1_JPG.JPG,16_4_distr2_JPG.JPG,16
Charlotte jagt...,17_1_metaphoric_JPG.JPG,17_2_literal_JPG.JPG,17_3_distr1_JPG.JPG,17_4_distr2_JPG.JPG,17
Katharina verzehrt...,18_1_metaphoric_JPG.JPG,18_2_literal_JPG.JPG,18_3_distr1_JPG.JPG,18_4_distr2_JPG.JPG,18
Daniel begehrt...,19_1_metaphoric_JPG.JPG,19_2_literal_JPG.JPG,19_3_distr1_JPG.JPG,19_4_distr2_JPG.JPG,19
Robert komponiert...,20_1_metaphoric_JPG.JPG,20_2_literal_JPG.JPG,20_3_distr1_JPG.JPG,20_4_distr2_JPG.JPG,20
Stephanie bekocht...,21_1_metaphoric_JPG.JPG,21_2_literal_JPG.JPG,21_3_distr1_JPG.JPG,21_4_distr2_JPG.JPG,21
Christian umarmt...,22_1_metaphoric_JPG.JPG,22_2_literal_JPG.JPG,22_3_distr1_JPG.JPG,22_4_distr2_JPG.JPG,22
Petra ignoriert...,23_1_metaphoric_JPG.JPG,23_2_literal_JPG.JPG,23_3_distr1_JPG.JPG,23_4_distr2_JPG.JPG,23
Leonie vergöttert...,24_1_metaphoric_JPG.JPG,24_2_literal_JPG.JPG,24_3_distr1_JPG.JPG,24_4_distr2_JPG.JPG,24
Lukas beglückwünscht...,25_1_metaphoric_JPG.JPG,25_2_literal_JPG.JPG,25_3_distr1_JPG.JPG,25_4_distr2_JPG.JPG,25
Jonas favorisiert...,26_1_metaphoric_JPG.JPG,26_2_literal_JPG.JPG,26_3_distr1_JPG.JPG,26_4_distr2_JPG.JPG,26
Emily beleidigt...,27_1_metaphoric_JPG.JPG,27_2_literal_JPG.JPG,27_3_distr3_JPG.JPG,27_4_distr2_JPG.JPG,27
David belabert...,28_1_metaphoric_JPG.JPG,28_2_literal_JPG.JPG,28_3_distr1_JPG.JPG,28_4_distr2_JPG.JPG,28
Vanessa begutachtet...,29_1_metaphoric_JPG.JPG,29_2_literal_JPG.JPG,29_3_distr1_JPG.JPG,29_4_distr2_JPG.JPG,29
Karoline bewilligt...,30_1_metaphoric_JPG.JPG,30_2_literal_JPG.JPG,30_3_distr1_JPG.JPG,30_4_distr2_JPG.JPG,30
Laura coacht...,31_1_metaphoric_JPG.JPG,31_2_literal_JPG.JPG,31_3_distr1_JPG.JPG,31_4_distr2_JPG.JPG,31
Philipp lobpreist...,32_1_metaphoric_JPG.JPG,32_2_literal_JPG.JPG,32_3_distr1_JPG.JPG,32_4_distr2_JPG.JPG,32
Nadine verärgert...,33_1_metaphoric_JPG.JPG,33_2_literal_JPG.JPG,33_3_distr1_JPG.JPG,33_4_distr2_JPG.JPG,33
Sebastian füttert...,34_1_metaphoric_JPG.JPG,34_2_literal_JPG.JPG,34_3_distr1_JPG.JPG,34_4_distr2_JPG.JPG,34
Fabian erzieht...,35_1_metaphoric_JPG.JPG,35_2_literal_JPG.JPG,35_3_distr1_JPG.JPG,35_4_distr2_JPG.JPG,35
Alexander belehrt...,36_1_metaphoric_JPG.JPG,36_2_literal_JPG.JPG,36_3_distr1_JPG.JPG,36_4_distr2_JPG.JPG,36
Simone protegiert ...,37_1_metaphoric_JPG.JPG,37_2_literal_JPG.JPG,37_3_distr1_JPG.JPG,37_4_distr2_JPG.JPG,37
Niklas umwirbt...,38_1_metaphoric_JPG.JPG,38_2_literal_JPG.JPG,38_3_distr1_JPG.JPG,38_4_distr2_JPG.JPG,38
